1,1,12
2,1,8
3,1,9
4,1,7
5,2,14
6,2,5
7,2,6
8,2,7
9,3,11
10,3,2
11,3,9
12,3,10
13,4,1
14,4,8
15,4,6
16,4,7
17,5,1
18,5,8
19,5,6
20,5,7
21,6,13
22,6,8
23,6,6
24,6,7
25,7,1
26,7,5
27,7,6
28,7,7
29,8,12
30,8,2
31,8,6
32,8,7
33,9,12
34,9,8
35,9,3
36,9,4
37,10,1
38,10,5
39,10,6
40,10,7
41,11,1
42,11,5
43,11,6
44,11,7
45,12,11
46,12,2
47,12,3
48,12,4
49,13,14
50,13,8
51,13,6
52,13,7
53,14,1
54,14,5
55,14,6
56,14,7
57,15,11
58,15,5
59,15,3
60,15,4
61,16,13
62,16,8
63,16,6
64,16,7
65,17,13
66,17,8
67,17,6
68,17,7
69,18,12
70,18,8
71,18,9
72,18,10
73,19,1
74,19,8
75,19,6
76,19,7
77,20,11
78,20,8
79,20,3
80,20,4
81,21,14
82,21,8
83,21,6
84,21,7
85,22,12
86,22,5
87,22,6
88,22,7
89,23,11
90,23,8
91,23,3
92,23,10
93,24,1
94,24,5
95,24,6
96,24,4
97,25,1
98,25,5
99,25,6
100,25,7
101,26,11
102,26,2
103,26,3
104,26,10
105,27,11
106,27,2
107,27,3
108,27,10
109,28,11
110,28,2
111,28,3
112,28,10
113,29,11
114,29,8
115,29,9
116,29,7
117,30,11
118,30,2
119,30,3
120,30,4
121,31,11
122,31,8
123,31,3
124,31,10
125,32,12
126,32,8
127,32,9
128,32,10
129,33,12
130,33,8
131,33,6
132,33,7
133,34,11
134,34,2
135,34,3
136,34,10
137,35,14
138,35,8
139,35,3
140,35,10
141,36,12
142,36,5
143,36,3
144,36,4
145,37,11
146,37,2
147,37,3
148,37,10
149,38,11
150,38,2
151,38,3
152,38,10
